Producto,Precio,Link
Laptop Lenovo Ideapad Ryzen 3 7320u 8gb 512gb 15.6 Fhd Color Azul Oscuro,581,https://www.mercadolibre.com.pe/laptop-lenovo-ideapad-ryzen-3-7320u-8gb-512gb-156-fhd-color-azul-oscuro/p/MPE36712323#polycard_client=search-nordic&searchVariation=MPE36712323&position=8&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE673423704&sid=search
Macbook Air 13 Chip M3 | 16gb Ram 256gb Ssd | 2024,1.890,https://articulo.mercadolibre.com.pe/MPE-690916446-macbook-air-13-chip-m3-16gb-ram-256gb-ssd-2024-_JM?searchVariation=186241447589#polycard_client=search-nordic&searchVariation=186241447589&position=40&search_layout=stack&type=item&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568
Lenovo V15 G4 Core I7 1355u 13th Gen 16gb Ssd 512gb 15.6' Color Iron Grey,1.179,https://www.mercadolibre.com.pe/lenovo-v15-g4-core-i7-1355u-13th-gen-16gb-ssd-512gb-156-color-iron-grey/p/MPE38819033#polycard_client=search-nordic&searchVariation=MPE38819033&position=11&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE688775202&sid=search
Asus Vivobook 16 Core I9 13900h 40gb 1tb Ssd 16' Fhd+ W11pro,196,https://articulo.mercadolibre.com.pe/MPE-684511988-asus-vivobook-16-core-i9-13900h-40gb-1tb-ssd-16-fhd-w11pro-_JM?searchVariation=181524332098#polycard_client=search-nordic&searchVariation=181524332098&position=41&search_layout=stack&type=item&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568
Asus Vivobook 16x Core I9 13900h 24gb 1tb Ssd 16' Wuxga Color Negro,4.700,https://www.mercadolibre.com.pe/asus-vivobook-16x-core-i9-13900h-24gb-1tb-ssd-16-wuxga-color-negro/p/MPE28327865#polycard_client=search-nordic&searchVariation=MPE28327865&position=7&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE685540252&sid=search
Macbook Pro 14 Chip M4 Pro | 24 Ram 512 Ssd | Teclado Ingles,3.243,https://articulo.mercadolibre.com.pe/MPE-692359384-macbook-pro-14-chip-m4-pro-24-ram-512-ssd-teclado-ingles-_JM?searchVariation=182217969694#polycard_client=search-nordic&searchVariation=182217969694&position=42&search_layout=stack&type=item&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568
Asus Tuf F15 Core I7 12va 32gb 1.5tb Ssd Rtx3050 15.6' 144hz Color Negro,540,https://www.mercadolibre.com.pe/asus-tuf-f15-core-i7-12va-32gb-15tb-ssd-rtx3050-156-144hz-color-negro/p/MPE29554907#polycard_client=search-nordic&searchVariation=MPE29554907&position=27&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE683972138&sid=search
Macbook Pro 14 | Chip M4 Pro | 24gb 512ssd | Teclado Español,2.044,https://articulo.mercadolibre.com.pe/MPE-693737598-macbook-pro-14-chip-m4-pro-24gb-512ssd-teclado-espanol-_JM?searchVariation=182368846046#polycard_client=search-nordic&searchVariation=182368846046&position=43&search_layout=stack&type=item&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568
Asus Rog Zephyrus G14 Ryzen 9 8945hs 16g 1tb Rtx4060 Oled 3k,1.729,https://articulo.mercadolibre.com.pe/MPE-675410014-asus-rog-zephyrus-g14-ryzen-9-8945hs-16g-1tb-rtx4060-oled-3k-_JM?searchVariation=180696598364#polycard_client=search-nordic&searchVariation=180696598364&position=44&search_layout=stack&type=item&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568
Apple Macbook Air 13 Chip M3 16gb Ram Ssd 256gb,288,https://articulo.mercadolibre.com.pe/MPE-698858158-apple-macbook-air-13-chip-m3-16gb-ram-ssd-256gb-_JM?searchVariation=186801320393#polycard_client=search-nordic&searchVariation=186801320393&position=45&search_layout=stack&type=item&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568
Lenovo V15 G4 Amn 15.6 Fhd Ryzen3 7320u 8gb 256gb Free Color Gris,2.499,https://www.mercadolibre.com.pe/lenovo-v15-g4-amn-156-fhd-ryzen3-7320u-8gb-256gb-free-color-gris/p/MPE28354351#polycard_client=search-nordic&searchVariation=MPE28354351&position=18&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE667359168&sid=search
Laptop Asus Vivobook Go 15 Ryzen 5 7520u 16gb Ssd512 15.6 Color Plateado,1.599,https://www.mercadolibre.com.pe/laptop-asus-vivobook-go-15-ryzen-5-7520u-16gb-ssd512-156-color-plateado/p/MPE37056524#polycard_client=search-nordic&searchVariation=MPE37056524&position=14&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE674768738&sid=search
Asus Vivobook X1605z Core I5 12500h 16gb 1tb 16' Fhd+ Nueva,266,https://articulo.mercadolibre.com.pe/MPE-676004680-asus-vivobook-x1605z-core-i5-12500h-16gb-1tb-16-fhd-nueva-_JM?searchVariation=183158330581#polycard_client=search-nordic&searchVariation=183158330581&position=46&search_layout=stack&type=item&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568
Laptop Lenovo Loq Ryzen 7 Ram24gb Ssd512gb Nvidia Geforcertx,50,https://www.mercadolibre.com.pe/laptop-lenovo-loq-ryzen-7-ram24gb-ssd512gb-nvidia-geforcertx/p/MPE43331437#polycard_client=search-nordic&searchVariation=MPE43331437&position=9&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE704682558&sid=search
Lenovo V15 G4 Ci5 13420h 24gb Ram 1tb+512gb Ssd.,4.097,https://articulo.mercadolibre.com.pe/MPE-659052706-lenovo-v15-g4-ci5-13420h-24gb-ram-1tb512gb-ssd-_JM?searchVariation=179136414688#polycard_client=search-nordic&searchVariation=179136414688&position=47&search_layout=stack&type=item&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568
Laptop Lenovo Ideapad 1 15alc7 R7 16gb Ram 512gb Ssd,2.868,https://www.mercadolibre.com.pe/laptop-lenovo-ideapad-1-15alc7-r7-16gb-ram-512gb-ssd/p/MPE31950701#polycard_client=search-nordic&searchVariation=MPE31950701&position=17&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE668673292&sid=search
Laptop Hp Pavilion 15-eh3002la Amd Ryzen 7-7730u 16gb 512gb,478,https://www.mercadolibre.com.pe/laptop-hp-pavilion-15-eh3002la-amd-ryzen-7-7730u-16gb-512gb/p/MPE37835415#polycard_client=search-nordic&searchVariation=MPE37835415&position=15&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE685150828&sid=search
Laptop Hp 15-fc0070la Amd Ryzen 5-7520u 16gb Ram 512gb Ssd,2.890,https://www.mercadolibre.com.pe/laptop-hp-15-fc0070la-amd-ryzen-5-7520u-16gb-ram-512gb-ssd/p/MPE37551852#polycard_client=search-nordic&searchVariation=MPE37551852&position=19&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE684621624&sid=search
"Macbook Air 13'' Procesador Apple M1 (8 Gb Ram, 256 Gb Ssd) Color Gris espacial - Distribuidor Autorizado",1.849,https://www.mercadolibre.com.pe/macbook-air-13-procesador-apple-m1-8-gb-ram-256-gb-ssd-color-gris-espacial-distribuidor-autorizado/p/MPE1017828518#polycard_client=search-nordic&searchVariation=MPE1017828518&position=21&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE618777469&sid=search
Asus Tuf A15 Ryzen 5 7535hs 16gb 512gb Rtx2050 15.6' Español Color Graphite Black,308,https://www.mercadolibre.com.pe/asus-tuf-a15-ryzen-5-7535hs-16gb-512gb-rtx2050-156-espanol-color-graphite-black/p/MPE37055574#polycard_client=search-nordic&searchVariation=MPE37055574&position=28&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE675069964&sid=search
"Lenovo Slim 5 Core I7 13620h 16gb Ssd 1tb 16' Wuxga, Alumio Color Gris",1.699,https://www.mercadolibre.com.pe/lenovo-slim-5-core-i7-13620h-16gb-ssd-1tb-16-wuxga-alumio-color-gris/p/MPE34221597#polycard_client=search-nordic&searchVariation=MPE34221597&position=20&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE675721698&sid=search
Laptop Hp 15-fd0008la Intel Core I7-1355u 8gb Ram 512gb Ssd,1.389,https://www.mercadolibre.com.pe/laptop-hp-15-fd0008la-intel-core-i7-1355u-8gb-ram-512gb-ssd/p/MPE28058125#polycard_client=search-nordic&searchVariation=MPE28058125&position=23&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE670690264&sid=search
"Laptop Lenovo K14 G1 Ryzen 3 5400u, Ram 8gb, Ssd M.2 512gb",231,https://articulo.mercadolibre.com.pe/MPE-701969314-laptop-lenovo-k14-g1-ryzen-3-5400u-ram-8gb-ssd-m2-512gb-_JM?searchVariation=186939187669#polycard_client=search-nordic&searchVariation=186939187669&position=48&search_layout=stack&type=item&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568
"Laptop Lenovo V15 G4 15.6 Fhd, Amd Ryzen 5 7520u 16gb 512gb Color Gris Oscuro",5.245,https://www.mercadolibre.com.pe/laptop-lenovo-v15-g4-156-fhd-amd-ryzen-5-7520u-16gb-512gb-color-gris-oscuro/p/MPE38471251#polycard_client=search-nordic&searchVariation=MPE38471251&position=24&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE685538656&sid=search
"Laptop Hp 250 G9 15.6, Core I5-1235u, Ram 8gb - 512gb Ssd Color Gris Oscuro",4.499,https://www.mercadolibre.com.pe/laptop-hp-250-g9-156-core-i5-1235u-ram-8gb-512gb-ssd-color-gris-oscuro/p/MPE24609042#polycard_client=search-nordic&searchVariation=MPE24609042&position=30&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE648678744&sid=search
Laptop Hp Victus 15-fa1098la Intel Core I5 16gb 1tb Rtx4050,749,https://www.mercadolibre.com.pe/laptop-hp-victus-15-fa1098la-intel-core-i5-16gb-1tb-rtx4050/p/MPE38440024#polycard_client=search-nordic&searchVariation=MPE38440024&position=22&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE684768290&sid=search
Laptop Gamer Dell G15 5530 I7-13650hx 16 Ram 1tb Ssd Rtx4060 Color Gris,2.999,https://www.mercadolibre.com.pe/laptop-gamer-dell-g15-5530-i7-13650hx-16-ram-1tb-ssd-rtx4060-color-gris/p/MPE39261518#polycard_client=search-nordic&searchVariation=MPE39261518&position=35&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE683800724&sid=search
Lenovo Legion Pro 5 Ci9 14900hx 16gb 1tb Rtx4060 16' Español Color Onyx Grey,2.599,https://www.mercadolibre.com.pe/lenovo-legion-pro-5-ci9-14900hx-16gb-1tb-rtx4060-16-espanol-color-onyx-grey/p/MPE37919374#polycard_client=search-nordic&searchVariation=MPE37919374&position=26&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE697313224&sid=search
Laptop Asus Tuf Gaming A15 R5 8gb Ram 512gb V4gb W11,433,https://www.mercadolibre.com.pe/laptop-asus-tuf-gaming-a15-r5-8gb-ram-512gb-v4gb-w11/p/MPE44965813#polycard_client=search-nordic&searchVariation=MPE44965813&position=25&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE697012250&sid=search
notebook 2 En 1 Advance Cn4058 10.1 Celeron N4020 1.10 Ghz,6.570,https://www.mercadolibre.com.pe/notebook-2-en-1-advance-cn4058-101-celeron-n4020-110-ghz/p/MPE41436474#polycard_client=search-nordic&searchVariation=MPE41436474&position=29&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE633451945&sid=search
Laptop Asus Tuf Gaming  I5 8gb Ram 512gb Ssd V6gb W11,4.073,https://articulo.mercadolibre.com.pe/MPE-695727792-laptop-asus-tuf-gaming-i5-8gb-ram-512gb-ssd-v6gb-w11-_JM#polycard_client=search-nordic&position=49&search_layout=stack&type=item&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568
Laptop Hp 250 G9 Intel I5-1235u 12va Gen 16gb Ssd 512gb 15.6 Color Negro,678,https://www.mercadolibre.com.pe/laptop-hp-250-g9-intel-i5-1235u-12va-gen-16gb-ssd-512gb-156-color-negro/p/MPE39476647#polycard_client=search-nordic&searchVariation=MPE39476647&position=31&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE690290246&sid=search
"MacBook Pro MacBook Pro 16"" M3 Pro 16"" color silver 18GB de Ram - 512GB SSD - Apple M3",6.299,https://www.mercadolibre.com.pe/macbook-pro-macbook-pro-16-m3-pro-16-color-silver-18gb-de-ram-512gb-ssd-apple-m3/p/MPE28766787#polycard_client=search-nordic&searchVariation=MPE28766787&position=32&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE667346072&sid=search
Laptop Lenovo Loq 15iax9 I5 12450hx 8gb Ddr5 512gb M.2 15.6,3.779,https://www.mercadolibre.com.pe/laptop-lenovo-loq-15iax9-i5-12450hx-8gb-ddr5-512gb-m2-156/p/MPE38214971#polycard_client=search-nordic&searchVariation=MPE38214971&position=33&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE697028156&sid=search
Laptop Gamer Lenovo Loq G8 Core I7 16gb 512ssd Nvidia Rtx,629,https://articulo.mercadolibre.com.pe/MPE-702864632-laptop-gamer-lenovo-loq-g8-core-i7-16gb-512ssd-nvidia-rtx-_JM#polycard_client=search-nordic&position=50&search_layout=stack&type=item&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568
Laptop Lenovo Yoga 7 2en1 Ryzen 7 1tb Ssd 16gb Tactil,9.941,https://articulo.mercadolibre.com.pe/MPE-670742062-laptop-lenovo-yoga-7-2en1-ryzen-7-1tb-ssd-16gb-tactil-_JM?searchVariation=180301183032#polycard_client=search-nordic&searchVariation=180301183032&position=51&search_layout=stack&type=item&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568
"Laptop Hp 250 G9 15.6, Core I5-1235u, Ram 24gb - 512gb Ssd Color Gris Oscuro",8.449,https://www.mercadolibre.com.pe/laptop-hp-250-g9-156-core-i5-1235u-ram-24gb-512gb-ssd-color-gris-oscuro/p/MPE26187346#polycard_client=search-nordic&searchVariation=MPE26187346&position=34&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE697612016&sid=search
Laptop Hp 15-fc0013la Amd Ryzen 7-7730U 16gb Ram 512gb Ssd,1.408,https://www.mercadolibre.com.pe/laptop-hp-15-fc0013la-amd-ryzen-7-7730u-16gb-ram-512gb-ssd/p/MPE38690671#polycard_client=search-nordic&searchVariation=MPE38690671&position=37&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE633271601&sid=search
Lenovo Legion Go 144hz Ryzen Z1 Extreme 512gb Color Negro,7.169,https://www.mercadolibre.com.pe/lenovo-legion-go-144hz-ryzen-z1-extreme-512gb-color-negro/p/MPE32447510#polycard_client=search-nordic&searchVariation=MPE32447510&position=38&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE668914014&sid=search
Laptop Dell Latitude 3540 I5 1335u 16gb 512gb Ssd W11pro Color Gris Oscuro,5.018,https://www.mercadolibre.com.pe/laptop-dell-latitude-3540-i5-1335u-16gb-512gb-ssd-w11pro-color-gris-oscuro/p/MPE30125551#polycard_client=search-nordic&searchVariation=MPE30125551&position=39&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE665280120&sid=search
Notebook Lenovo V15 Core I5 13420h 16gb 512gb 15 Fhd Win11h Color Busines Black,836,https://www.mercadolibre.com.pe/notebook-lenovo-v15-core-i5-13420h-16gb-512gb-15-fhd-win11h-color-busines-black/p/MPE39286531#polycard_client=search-nordic&searchVariation=MPE39286531&position=36&search_layout=stack&type=product&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568&wid=MPE684521426&sid=search
Asus Tuf F15 Core I5 12500h 32gb Ram 1tb Ssd Rtx3050 15.6,11.153,https://articulo.mercadolibre.com.pe/MPE-654527732-asus-tuf-f15-core-i5-12500h-32gb-ram-1tb-ssd-rtx3050-156-_JM?searchVariation=180023645399#polycard_client=search-nordic&searchVariation=180023645399&position=52&search_layout=stack&type=item&tracking_id=7434fa9f-fdb7-404e-89f2-100bcf61f568
